銘柄名,市場・商品区分,33業種区分,17業種区分
新都ホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 
パレモ・ホールディングス,スタンダード（内国株式）,小売業,小売 
コメ兵ホールディングス,スタンダード（内国株式）,小売業,小売 
セリア,スタンダード（内国株式）,小売業,小売 
アルフレッサ　ホールディングス,プライム（内国株式）,卸売業,商社・卸売 
アップルインターナショナル,スタンダード（内国株式）,卸売業,商社・卸売 
カルラ,スタンダード（内国株式）,小売業,小売 
ナフコ,スタンダード（内国株式）,小売業,小売 
大黒天物産,プライム（内国株式）,小売業,小売 
ハニーズホールディングス,プライム（内国株式）,小売業,小売 
日本プリメックス,スタンダード（内国株式）,卸売業,商社・卸売 
ファーマライズホールディングス,スタンダード（内国株式）,小売業,小売 
ワイズテーブルコーポレーション,スタンダード（内国株式）,小売業,小売 
キッコーマン,プライム（内国株式）,食料品,食品 
味の素,プライム（内国株式）,食料品,食品 
ブルドックソース,プライム（内国株式）,食料品,食品 
ヱスビー食品,スタンダード（内国株式）,食料品,食品 
ユタカフーズ,スタンダード（内国株式）,食料品,食品 
キユーピー,プライム（内国株式）,食料品,食品 
ハウス食品グループ本社,プライム（内国株式）,食料品,食品 
カゴメ,プライム（内国株式）,食料品,食品 
焼津水産化学工業,スタンダード（内国株式）,食料品,食品 
和弘食品,スタンダード（内国株式）,食料品,食品 
佐藤食品工業,スタンダード（内国株式）,食料品,食品 
アリアケジャパン,プライム（内国株式）,食料品,食品 
ダイショー,スタンダード（内国株式）,食料品,食品 
ピエトロ,スタンダード（内国株式）,食料品,食品 
エバラ食品工業,スタンダード（内国株式）,食料品,食品 
やまみ,スタンダード（内国株式）,食料品,食品 
アヲハタ,スタンダード（内国株式）,食料品,食品 
はごろもフーズ,スタンダード（内国株式）,食料品,食品 
ニチレイ,プライム（内国株式）,食料品,食品 
セイヒョー,スタンダード（内国株式）,食料品,食品 
横浜冷凍,プライム（内国株式）,卸売業,商社・卸売 
東洋水産,プライム（内国株式）,食料品,食品 
デルソーレ,スタンダード（内国株式）,食料品,食品 
日東ベスト,スタンダード（内国株式）,食料品,食品 
イートアンドホールディングス,プライム（内国株式）,食料品,食品 
大冷,スタンダード（内国株式）,食料品,食品 
ヨシムラ・フード・ホールディングス,プライム（内国株式）,食料品,食品 
日本食品化工,スタンダード（内国株式）,食料品,食品 
石井食品,スタンダード（内国株式）,食料品,食品 
日清食品ホールディングス,プライム（内国株式）,食料品,食品 
永谷園ホールディングス,プライム（内国株式）,食料品,食品 
石垣食品,スタンダード（内国株式）,食料品,食品 
シノブフーズ,スタンダード（内国株式）,食料品,食品 
一正蒲鉾,スタンダード（内国株式）,食料品,食品 
あじかん,スタンダード（内国株式）,食料品,食品 
フジッコ,プライム（内国株式）,食料品,食品 
ロック・フィールド,プライム（内国株式）,食料品,食品 
旭松食品,スタンダード（内国株式）,食料品,食品 
日本たばこ産業,プライム（内国株式）,食料品,食品 
ケンコーマヨネーズ,プライム（内国株式）,食料品,食品 
仙波糖化工業,スタンダード（内国株式）,食料品,食品 
大森屋,スタンダード（内国株式）,食料品,食品 
わらべや日洋ホールディングス,プライム（内国株式）,食料品,食品 
なとり,プライム（内国株式）,食料品,食品 
サトウ食品,スタンダード（内国株式）,食料品,食品 
イフジ産業,スタンダード（内国株式）,食料品,食品 
篠崎屋,スタンダード（内国株式）,食料品,食品 
ＡＦＣ－ＨＤアムスライフサイエンス,スタンダード（内国株式）,食料品,食品 
ファーマフーズ,プライム（内国株式）,食料品,食品 
北の達人コーポレーション,プライム（内国株式）,化学,素材・化学 
ユーグレナ,プライム（内国株式）,食料品,食品 
ＳＴＩフードホールディングス,スタンダード（内国株式）,食料品,食品 
紀文食品,プライム（内国株式）,食料品,食品 
ジェイフロンティア,グロース（内国株式）,食料品,食品 
ピックルスホールディングス,プライム（内国株式）,食料品,食品 
ベースフード,グロース（内国株式）,食料品,食品 
サンクゼール,グロース（内国株式）,食料品,食品 
オカムラ食品工業,スタンダード（内国株式）,食料品,食品 
日本調理機,スタンダード（内国株式）,金属製品,建設・資材 
テクニスコ,スタンダード（内国株式）,金属製品,建設・資材 
グッドライフカンパニー,スタンダード（内国株式）,不動産業,不動産 
スター・マイカ・ホールディングス,プライム（内国株式）,不動産業,不動産 
Ｌｉｖ－ｕｐ,PRO Market,不動産業,不動産 
ツクルバ,グロース（内国株式）,不動産業,不動産 
ＳＲＥホールディングス,プライム（内国株式）,不動産業,不動産 
ランディックス,グロース（内国株式）,不動産業,不動産 
ＡＤワークスグループ,プライム（内国株式）,不動産業,不動産 
